cpf,id_disc
05020555555,27
06169933554,23
01437901196,27
01712609174,23
01861002026,1
02928272625,1
10130986185,28
10299761377,28
10468536559,1
11122233344,3
12141618201,23
12345678977,6
15234516524,13
16922268394,14
17780734413,8
18590127865,23
20297772132,2
21212121212,29
21985524001,8
22233344455,2
22558877441,33
23673275870,36
25361027740,29
27048779600,29
28736531478,28
30424283347,17
31914223344,6
32112035216,24
33355599988,19
33799787085,11
34123567630,33
35467646557,4
35487538954,6
37175290824,13
38863042693,30
40550794562,6
42238546431,20
43424140187,31
43926298300,34
44445555665,27
45614050170,27
47301802039,36
48989553908,31
50466400847,9
50677305777,9
51010052012,11
52201370078,18
52365057644,21
53392688143,21
54052809516,22
54584006209,28
55740561385,6
55775324274,34
56966642339,8
57428313254,30
57585758579,4
58157960405,9
59116065123,21
59349278470,1
60540596536,13
60803816994,1
61731914601,30
62491568861,30
62626255555,6
62923232666,34
64114550732,36
64179320731,24
64477543628,14
64828219030,25
65178894431,37
65305868797,18
65529569832,38
65867072600,8
65880245234,36
66230920635,17
66497186863,33
66581596036,24
66809234064,4
66932271437,36
67282946839,14
67554824469,8
67633622240,6
67688504928,12
67984297641,30
68334973043,7
68685648444,23
68752234762,14
68879822993,6
69036323845,10
69242576334,33
69386999246,29
69737674648,1
70071141059,11
70088350049,16
70439025450,22
70789700852,30
70930328207,28
71140376253,9
71262459124,12
71491051654,32
71841727055,34
72192402457,13
72453777190,17
72543077858,11
72618080077,1
73645095255,32
74174171444,15
74305831946,22
74836413320,18
75993583815,28
76027731386,5
77219049451,1
77681335684,31
79369087553,9
81056839422,20
82744591292,21
84432343161,35
85095067979,3
85285287414,13
86120095098,10
87807846899,6
89495598768,27
91183350638,29
92871102507,7
94558854373,28
96246606245,21
97934358114,28
98598598598,22
99141819171,3
99622109983,25
27048779600,8
28736531478,14
30424283347,27
31914223344,4
32112035216,31
33355599988,28
33799787085,29
34123567630,27
68685648444,30
68752234762,28
68879822993,2
69036323845,27
69242576334,28
69386999246,9
69737674648,3
70071141059,27
70088350049,20
70439025450,13
70789700852,33
70930328207,14
71140376253,28
71262459124,9
71491051654,34
71841727055,27
72192402457,28
72453777190,29
72543077858,27
72618080077,10
73645095255,35
74174171444,21
