id_curso,cpf,data_matr
9,05020555555,2020-03-23
8,06169933554,2016-12-03
9,01437901196,2020-10-07
8,01712609174,2019-06-02
3,01861002026,2018-11-06
3,02928272625,2020-01-10
9,10130986185,2018-05-31
9,10299761377,2021-06-16
1,10468536559,2019-03-12
3,11122233344,2021-08-06
8,12141618201,2018-05-18
6,12345678977,2020-01-30
7,15234516524,2019-02-05
5,16922268394,2015-10-13
3,17780734413,2018-05-31
8,18590127865,2021-01-21
1,20297772132,2021-04-08
9,21212121212,2019-12-16
3,21985524001,2018-11-07
1,22233344455,2019-02-15
11,22558877441,2018-10-28
12,23673275870,2021-07-22
9,25361027740,2018-08-01
9,27048779600,2019-02-26
9,28736531478,2016-06-30
7,30424283347,2017-01-13
2,31914223344,2018-06-30
8,32112035216,2019-04-28
7,33355599988,2016-12-16
4,33799787085,2015-12-05
11,34123567630,2020-12-16
1,35467646557,2018-01-19
2,35487538954,2021-03-23
7,37175290824,2019-04-05
10,38863042693,2018-09-04
7,40550794562,2016-12-23
6,42238546431,2018-05-16
10,43424140187,2016-01-24
11,43926298300,2020-08-01
9,44445555665,2016-04-28
9,45614050170,2019-06-19
12,47301802039,2016-06-13
10,48989553908,2017-09-04
3,50466400847,2019-03-22
3,50677305777,2021-08-27
4,51010052012,2020-11-11
7,52201370078,2018-02-09
6,52365057644,2018-10-21
6,53392688143,2018-10-11
6,54052809516,2018-07-08
9,54584006209,2018-12-14
2,55740561385,2019-02-05
11,55775324274,2016-12-09
3,56966642339,2018-11-09
10,57428313254,2020-04-02
1,57585758579,2017-03-01
3,58157960405,2018-07-16
6,59116065123,2021-02-01
1,59349278470,2018-06-08
5,60540596536,2021-05-28
1,60803816994,2020-03-21
10,61731914601,2017-04-14
10,62491568861,2019-10-13
6,62626255555,2020-09-15
11,62923232666,2016-11-03
12,64114550732,2016-09-13
8,64179320731,2016-12-05
5,64477543628,2019-07-19
8,64828219030,2021-09-03
12,65178894431,2020-01-15
7,65305868797,2017-07-06
12,65529569832,2019-06-12
3,65867072600,2016-11-21
12,65880245234,2016-11-12
7,66230920635,2021-06-01
11,66497186863,2020-01-23
8,66581596036,2019-09-14
1,66809234064,2017-01-27
12,66932271437,2021-05-24
5,67282946839,2018-10-17
3,67554824469,2018-12-25
2,67633622240,2018-05-16
4,67688504928,2019-05-12
10,67984297641,2018-06-06
2,68334973043,2018-09-26
8,68685648444,2017-01-13
5,68752234762,2016-09-30
2,68879822993,2021-07-19
3,69036323845,2021-01-01
11,69242576334,2018-01-16
9,69386999246,2017-10-30
4,69737674648,2020-01-02
4,70071141059,2021-02-12
5,70088350049,2020-10-02
6,70439025450,2018-01-09
10,70789700852,2021-03-29
9,70930328207,2018-12-28
3,71140376253,2017-10-12
4,71262459124,2015-11-28
10,71491051654,2021-09-03
11,71841727055,2017-02-19
7,72192402457,2019-06-27
7,72453777190,2019-10-07
4,72543077858,2017-11-05
4,72618080077,2018-04-18
10,73645095255,2016-02-14
5,74174171444,2016-11-01
6,74305831946,2018-05-13
7,74836413320,2019-10-16
9,75993583815,2016-12-09
2,76027731386,2015-12-10
4,77219049451,2021-01-22
10,77681335684,2020-02-11
3,79369087553,2019-08-02
6,81056839422,2016-05-26
6,82744591292,2017-06-30
11,84432343161,2016-01-09
1,85095067979,2017-02-17
5,85285287414,2020-05-08
3,86120095098,2020-02-19
7,87807846899,2015-09-30
9,89495598768,2019-07-17
9,91183350638,2020-12-04
2,92871102507,2017-03-25
9,94558854373,2018-09-27
6,96246606245,2019-06-13
9,97934358114,2016-05-27
6,98598598598,2016-07-09
1,99141819171,2018-07-11
8,99622109983,2021-07-20
3,27048779600,2019-04-26
5,28736531478,2016-08-30
9,30424283347,2017-03-13
1,31914223344,2018-07-30
10,32112035216,2019-05-28
9,33355599988,2017-02-16
9,33799787085,2016-03-05
9,34123567630,2021-04-16
10,68685648444,2017-02-13
9,68752234762,2016-10-30
1,68879822993,2021-11-19
9,69036323845,2021-05-01
9,69242576334,2018-02-16
3,69386999246,2017-11-30
3,69737674648,2020-01-22
9,70071141059,2021-03-12
6,70088350049,2020-12-02
5,70439025450,2018-02-09
11,70789700852,2021-09-29
5,70930328207,2019-01-28
9,71140376253,2017-11-12
3,71262459124,2016-01-28
11,71491051654,2021-09-30
9,71841727055,2017-04-19
9,72192402457,2019-08-27
9,72453777190,2019-11-07
9,72543077858,2018-03-05
3,72618080077,2018-06-18
11,73645095255,2016-04-14
6,74174171444,2017-03-01
