matricula_prof,nome,endereco,telefone,data_nasc,id_depto,data_contr
1,Gabriela Genir Marinho,000 Wright Motorway Suite 352,+1-006-414-8797,1954-12-08,1,2016-12-13
2,Marli de Holanda Opinvic,00183 Charles Mountain,+1-008-628-9256x246,1963-01-15,2,2016-04-07
3,Walter Mário de Muniz,00626 Jonathan Hollow Apt. 314,+55-11-99999-8888,1958-03-21,3,2016-09-25
4,Cléber de Vasconcelos,0134 Murray Walk,+55-11-4224-2626,1957-08-09,9,2020-10-05
5,Selena Caroline Cavalcante da Silva,0137 Shelton Rest Apt. 273,+1-013-001-8838,1935-01-04,1,2016-11-09
6,Gabriela da Silva de Macedo,0165 Drew Junction Suite 552,+1-026-402-2651,1930-10-06,2,2020-05-17
7,Heitor Raul de Meireles Rilia,0181 Ronald Brooks,+1-032-081-6436,1950-02-02,3,2019-02-06
8,Gabriela Maria Ribohi Valente,01932 Garcia Expressway Suite 183,+1-037-591-5560x81884,1954-04-20,9,2021-05-24
9,Lúcio Ceilson,015 Johnson Stravenue Suite 582,+1-019-168-1103x30298,1973-04-25,1,2021-07-06
10,Marco Yumoma Neto,01627 Lopez Path Suite 161,+1-024-173-1193x0353,1969-05-22,2,2016-04-18
11,Áureo de Palhares Neiol,0214 Ramos Bypass Apt. 986,+55-51-92929-5550,1951-02-26,3,2017-08-24
12,Sílvia Rosimeire Franco,022 Thomas Ridges Apt. 464,+55-11-91010-2020,1940-04-04,9,2019-12-03
13,João Osvaldo de Oliva do Prado,02794 Carr Mountains,+55-11-97887-8007,1942-05-15,1,2020-10-08
14,Flaviana Supugeko de Arantes,031 Cook Ville Suite 523,+55-21-90909-4444,1996-05-07,2,2016-07-30
15,Ronaldo Severino Berrea Bozuga,03656 Ward Plaza Apt. 978,+1-047-466-1919x28434,1931-01-12,3,2017-09-14
16,Romildo Ademar da Silva Fragoso Júnior,0377 Joshua Circle,+1-051-279-6304x91019,1942-11-25,9,2017-09-05
17,Bella Biwo,03836 Lydia Creek Apt. 778,+1-060-465-8808x51762,1932-08-15,1,2016-06-23
18,Márcio de Oliveira Negrão,041 Lin Lock,+1-061-832-1376x6059,1930-02-21,2,2021-06-15
19,Décio de Leão do Amaral Terceiro,04312 Haley Island,+1-065-022-0820,1981-04-06,3,2016-06-03
20,Moacyr Arthur Góis,05983 Michael Spring Suite 047,+55-19-90001-8889,1986-02-28,9,2021-09-05
